"店舗名","電話番号","メールアドレス","都道府県","市区町村","番地","建物名","URL","SSL"
"おもてなしの個室 しゃぶしゃぶ すき焼き 梵天丸","050-5484-1750","","宮城県","仙台市青葉区国分町","=""2-10-23""","丸伊プラザ2F","https://sendai-bontenmal.gorp.jp/","True"
"和食と酒のアテ 居酒屋シトラス","050-5494-6479","","宮城県","仙台市青葉区国分町","=""2-11-11""","千松島ビルB1","https://ta61200.gorp.jp/","True"
"伊達のいろり焼 蔵の庄 総本店 （仙台駅前）","050-5485-6573","","宮城県","仙台市青葉区中央","=""1-8-38""","AKビル4F","https://t021209.gorp.jp/","True"
"個室居酒屋 四季彩‐Shikisai‐ 仙台駅前店","050-5487-4476","","宮城県","仙台市青葉区中央","=""3-1-3""","aune仙台6F","https://ta20500.gorp.jp/","True"
"Season 花蔵－kagura－","050-5487-6101","","宮城県","仙台市青葉区中央","=""2-11-26""","ホテルドーミーイン仙台アネックス1F","https://season-kagura.gorp.jp/","True"
"仙台キッチン～SENDAI KITCHEN～","050-5494-2619","","宮城県","仙台市宮城野区榴岡","=""1-1-1""","JR仙台イーストゲートビル2F","https://ta4v600.gorp.jp/","True"
"和食 波奈 仙台店","050-5484-7658","","宮城県","仙台市青葉区中央","=""2-1-1""","","https://washoku-hana-sendaiten.gorp.jp/","True"
"伊達のいろり焼 蔵の庄 一番町本店","050-5484-4912","","宮城県","仙台市青葉区一番町","=""3-8-14""","鈴喜アバンティビル2F","https://t021231.gorp.jp/","True"
"居酒屋 金市朗 国分町店","050-5484-8403","","宮城県","仙台市青葉区国分町","=""2-15-2""","グランパレビル2F","https://kinichirokokubuncho.gorp.jp/","True"
"かこいや 仙台駅前店","050-5484-2154","","宮城県","仙台市青葉区中央","=""3-6-10""","フージャース仙台駅前ビル6F","https://t003305.gorp.jp/","True"
"郷土料理と地酒 宮城の蔵 仙台駅前店","050-5494-2176","","宮城県","仙台市青葉区中央","=""4-1-3""","仙台プレイビル3F","https://ta00801.gorp.jp/","True"
"全席個室ダイニング 忍家 BiVi仙台駅東口店","050-5486-3205","","宮城県","仙台市宮城野区榴岡","=""2-1-25""","Bivi仙台駅東口4F","https://shinobuya-bivisendai.gorp.jp/","True"
"うまいものあり おおみ矢 仙台 稲荷小路店","050-5486-5733","","宮城県","仙台市青葉区一番町","=""4-3-12""","第5吉岡屋ビル1F","https://umaimonoari-omiya-inarikoujiten.gorp.jp/","True"
"仙台個室居酒屋×全席喫煙可 杜のおかえり","050-5487-9105","","宮城県","仙台市青葉区国分町","=""2-1-1""","19フジビル5F","https://morinookaeri.gorp.jp/","True"
"三陸海鮮と地元牧場のお肉 仙台海蔵 全席ドア付き個室","050-5485-6509","","宮城県","仙台市青葉区国分町","=""2-1-22""","",""," "
"【個室完備】和食居酒屋 和咲美 ‐wasabi‐ 仙台駅前店","050-5486-8585","","宮城県","仙台市青葉区中央","=""1-8-26""","ラ・サーミビル2F","https://ta7u300.gorp.jp/","True"
"最強コスパ！仙台牛タン＆A5仙台牛焼肉 食べ飲み放題 焼肉横綱","050-5488-4083","","宮城県","仙台市青葉区国分町","=""2-12-3""","2F","https://ta3h000.gorp.jp/","True"
"DUMBO PIZZA FACTORY（ダンボピザファクトリー）仙台","050-5486-7008","","宮城県","仙台市青葉区中央","=""1-1-1""","エスパル仙台","https://dumbo-sendai.gorp.jp/","True"
"金市朗 仙台南町通店","050-5487-3796","","宮城県","仙台市青葉区中央","=""3-6-12""","仙台南町通ビル3F","https://kinichiro-minamimachi.gorp.jp/","True"
"大衆酒場 まっちゃん","080-2834-9578","","宮城県","仙台市青葉区国分町","=""2-2-28""","第一藤原屋ビルB1","https://ta66300.gorp.jp/","True"
"鉄板 松阪屋","050-5486-8540","","宮城県","仙台市青葉区国分町","=""1-6-1""","ルナパーク一番町ビル3F","https://matsuzakaya.gorp.jp/","True"
"おでん 三吉","050-5484-3502","","宮城県","仙台市青葉区一番町","=""4-10-8（稲荷小路）""","","https://t092300.gorp.jp/","True"
